Zipcode	City	State
33024	Hollywood	FL
33311	Fort-Lauderdale	FL
33023	Hollywood	FL
33012	Hialeah	FL
33025	Hollywood	FL
33411	West-Palm-Beach	FL
33647	Tampa	FL
34953	Port-St.-Lucie	FL
34787	Winter-Garden	FL
32828	Orlando	FL
33186	Miami	FL
33157	Miami	FL
33015	Hialeah	FL
32765	Oviedo	FL
32218	Jacksonville	FL
33463	Lake-Worth	FL
33313	Fort-Lauderdale	FL
32210	Jacksonville	FL
32822	Orlando	FL
34711	Clermont	FL
33414	West-Palm-Beach	FL
33064	Pompano-Beach	FL
32825	Orlando	FL
33125	Miami	FL
33027	Hollywood	FL
32244	Jacksonville	FL
32808	Orlando	FL
33142	Miami	FL
33511	Brandon	FL
33458	Jupiter	FL
33033	Homestead	FL
32818	Orlando	FL
33065	Pompano-Beach	FL
33177	Miami	FL
32068	Middleburg	FL
34744	Kissimmee	FL
32771	Sanford	FL
33161	Miami	FL
33165	Miami	FL
33312	Fort-Lauderdale	FL
32225	Jacksonville	FL
32162	Lady-Lake	FL
33063	Pompano-Beach	FL
33467	Lake-Worth	FL
32703	Apopka	FL
33018	Hialeah	FL
33175	Miami	FL
33196	Miami	FL
33126	Miami	FL
32839	Orlando	FL
33068	Pompano-Beach	FL
32259	Jacksonville	FL
33176	Miami	FL
33178	Miami	FL
33415	West-Palm-Beach	FL
33612	Tampa	FL
33016	Hialeah	FL
32792	Winter-Park	FL
32246	Jacksonville	FL
32837	Orlando	FL
32174	Ormond-Beach	FL
33810	Lakeland	FL
33032	Homestead	FL
33193	Miami	FL
33021	Hollywood	FL
32304	Tallahassee	FL
32725	Deltona	FL
32608	Gainesville	FL
33614	Tampa	FL
33324	Fort-Lauderdale	FL
32303	Tallahassee	FL
33029	Hollywood	FL
32712	Apopka	FL
34668	Port-Richey	FL
32835	Orlando	FL
32256	Jacksonville	FL
33147	Miami	FL
33461	Lake-Worth	FL
34741	Kissimmee	FL
33615	Tampa	FL
33617	Tampa	FL
33321	Fort-Lauderdale	FL
34135	Bonita-Springs	FL
32164	Palm-Coast	FL
33162	Miami	FL
33610	Tampa	FL
33319	Fort-Lauderdale	FL
33155	Miami	FL
32824	Orlando	FL
34221	Palmetto	FL
34761	Ocoee	FL
34786	Windermere	FL
32738	Deltona	FL
32708	Winter-Springs	FL
33010	Hialeah	FL
32746	Lake-Mary	FL
33020	Hollywood	FL
34743	Kissimmee	FL
32907	Palm-Bay	FL
34997	Stuart	FL
33436	Boynton-Beach	FL
33179	Miami	FL
34746	Kissimmee	FL
32224	Jacksonville	FL
32137	Palm-Coast	FL
33172	Miami	FL
34758	Kissimmee	FL
34983	Port-St.-Lucie	FL
32073	Orange-Park	FL
32514	Pensacola	FL
34609	Spring-Hill	FL
32940	Melbourne	FL
33014	Hialeah	FL
34655	New-Port-Richey	FL
33169	Miami	FL
33009	Hallandale	FL
34952	Port-St.-Lucie	FL
33428	Boca-Raton	FL
32935	Melbourne	FL
32811	Orlando	FL
34208	Bradenton	FL
33418	West-Palm-Beach	FL
33055	Opa-Locka	FL
33309	Fort-Lauderdale	FL
34759	Kissimmee	FL
33880	Winter-Haven	FL
33134	Miami	FL
33433	Boca-Raton	FL
32566	Navarre	FL
33619	Tampa	FL
34748	Leesburg	FL
33624	Tampa	FL
33141	Miami-Beach	FL
33160	North-Miami-Beach	FL
33604	Tampa	FL
34293	Venice	FL
32404	Panama-City	FL
33139	Miami-Beach	FL
33071	Pompano-Beach	FL
33322	Fort-Lauderdale	FL
33076	Pompano-Beach	FL
32257	Jacksonville	FL
34203	Bradenton	FL
33135	Miami	FL
32955	Rockledge	FL
34698	Dunedin	FL
33317	Fort-Lauderdale	FL
33914	Cape-Coral	FL
32216	Jacksonville	FL
33813	Lakeland	FL
33437	Boynton-Beach	FL
34785	Wildwood	FL
32714	Altamonte-Springs	FL
32810	Orlando	FL
33060	Pompano-Beach	FL
33905	Fort-Myers	FL
32526	Pensacola	FL
32065	Orange-Park	FL
32092	Saint-Augustine	FL
32724	Deland	FL
33183	Miami	FL
33844	Haines-City	FL
32506	Pensacola	FL
33908	Fort-Myers	FL
32034	Fernandina-Beach	FL
34207	Bradenton	FL
33613	Tampa	FL
33435	Boynton-Beach	FL
32780	Titusville	FL
34116	Naples	FL
33056	Opa-Locka	FL
32707	Casselberry	FL
32826	Orlando	FL
32812	Orlando	FL
33351	Fort-Lauderdale	FL
32084	Saint-Augustine	FL
32817	Orlando	FL
32211	Jacksonville	FL
33133	Miami	FL
32571	Milton	FL
34120	Naples	FL
32207	Jacksonville	FL
33073	Pompano-Beach	FL
33030	Homestead	FL
34232	Sarasota	FL
34209	Bradenton	FL
33410	West-Palm-Beach	FL
32209	Jacksonville	FL
33594	Valrico	FL
34608	Spring-Hill	FL
32807	Orlando	FL
33990	Cape-Coral	FL
34653	New-Port-Richey	FL
33040	Key-West	FL
33174	Miami	FL
33801	Lakeland	FL
33881	Winter-Haven	FL
32547	Fort-Walton-Beach	FL
32503	Pensacola	FL
33710	Saint-Petersburg	FL
32258	Jacksonville	FL
33756	Clearwater	FL
33417	West-Palm-Beach	FL
33823	Auburndale	FL
34683	Palm-Harbor	FL
33156	Miami	FL
33952	Port-Charlotte	FL
34667	Hudson	FL
33462	Lake-Worth	FL
33409	West-Palm-Beach	FL
33326	Fort-Lauderdale	FL
32578	Niceville	FL
33173	Miami	FL
33611	Tampa	FL
34119	Naples	FL
32114	Daytona-Beach	FL
32312	Tallahassee	FL
33460	Lake-Worth	FL
33180	Miami	FL
32720	Deland	FL
33713	Saint-Petersburg	FL
32277	Jacksonville	FL
34205	Bradenton	FL
32405	Panama-City	FL
34266	Arcadia	FL
32904	Melbourne	FL
33884	Winter-Haven	FL
33702	Saint-Petersburg	FL
33127	Miami	FL
34243	Sarasota	FL
33026	Hollywood	FL
33054	Opa-Locka	FL
33909	Cape-Coral	FL
33013	Hialeah	FL
33445	Delray-Beach	FL
32309	Tallahassee	FL
33407	West-Palm-Beach	FL
34772	St.-Cloud	FL
33185	Miami	FL
34472	Ocala	FL
32570	Milton	FL
32301	Tallahassee	FL
32909	Palm-Bay	FL
32773	Sanford	FL
33904	Cape-Coral	FL
33143	Miami	FL
32507	Pensacola	FL
32221	Jacksonville	FL
32208	Jacksonville	FL
33626	Tampa	FL
33145	Miami	FL
33837	Davenport	FL
32082	Ponte-Vedra-Beach	FL
34142	Immokalee	FL
32127	Daytona-Beach	FL
33771	Largo	FL
33809	Lakeland	FL
34231	Sarasota	FL
33919	Fort-Myers	FL
32205	Jacksonville	FL
33138	Miami	FL
32607	Gainesville	FL
32539	Crestview	FL
33917	North-Fort-Myers	FL
34990	Palm-City	FL
33570	Ruskin	FL
32159	Lady-Lake	FL
33130	Miami	FL
32533	Cantonment	FL
33150	Miami	FL
33328	Fort-Lauderdale	FL
32779	Longwood	FL
32086	Saint-Augustine	FL
33510	Brandon	FL
33334	Fort-Lauderdale	FL
33803	Lakeland	FL
34639	Land-O-Lakes	FL
33325	Fort-Lauderdale	FL
32583	Milton	FL
33144	Miami	FL
33404	West-Palm-Beach	FL
32809	Orlando	FL
34684	Palm-Harbor	FL
33442	Deerfield-Beach	FL
33830	Bartow	FL
33705	Saint-Petersburg	FL
33401	West-Palm-Beach	FL
32003	Orange-Park	FL
32958	Sebastian	FL
34287	North-Port	FL
32327	Crawfordville	FL
33569	Riverview	FL
34986	Port-St.-Lucie	FL
33544	Zephyrhills	FL
33543	Zephyrhills	FL
33069	Pompano-Beach	FL
32757	Mount-Dora	FL
33971	Lehigh-Acres	FL
32832	Orlando	FL
33993	Cape-Coral	FL
32819	Orlando	FL
32168	New-Smyrna-Beach	FL
32806	Orlando	FL
33406	West-Palm-Beach	FL
32937	Satellite-Beach	FL
34689	Tarpon-Springs	FL
33168	Miami	FL
32927	Cocoa	FL
33067	Pompano-Beach	FL
33618	Tampa	FL
33441	Deerfield-Beach	FL
33764	Clearwater	FL
33470	Loxahatchee	FL
33625	Tampa	FL
33308	Fort-Lauderdale	FL
33314	Fort-Lauderdale	FL
32250	Jacksonville-Beach	FL
34606	Spring-Hill	FL
34112	Naples	FL
33629	Tampa	FL
33860	Mulberry	FL
33028	Hollywood	FL
32177	Palatka	FL
33584	Seffner	FL
32043	Green-Cove-Springs	FL
33770	Largo	FL
33755	Clearwater	FL
34491	Summerfield	FL
32789	Winter-Park	FL
32962	Vero-Beach	FL
32117	Daytona-Beach	FL
33825	Avon-Park	FL
32505	Pensacola	FL
33484	Delray-Beach	FL
33446	Delray-Beach	FL
32563	Gulf-Breeze	FL
33547	Lithia	FL
34471	Ocala	FL
33331	Fort-Lauderdale	FL
33703	Saint-Petersburg	FL
32605	Gainesville	FL
33805	Lakeland	FL
33913	Fort-Myers	FL
33189	Miami	FL
33928	Estero	FL
34982	Fort-Pierce	FL
32901	Melbourne	FL
32750	Longwood	FL
34769	St.-Cloud	FL
32233	Atlantic-Beach	FL
33916	Fort-Myers	FL
33781	Pinellas-Park	FL
33707	Saint-Petersburg	FL
34219	Parrish	FL
33712	Saint-Petersburg	FL
34202	Bradenton	FL
33709	Saint-Petersburg	FL
33444	Delray-Beach	FL
32223	Jacksonville	FL
34104	Naples	FL
33936	Lehigh-Acres	FL
33907	Fort-Myers	FL
33607	Tampa	FL
34482	Ocala	FL
33166	Miami	FL
34109	Naples	FL
33558	Lutz	FL
32536	Crestview	FL
32060	Live-Oak	FL
34110	Naples	FL
34974	Okeechobee	FL
32953	Merritt-Island	FL
33426	Boynton-Beach	FL
33327	Fort-Lauderdale	FL
34652	New-Port-Richey	FL
33935	Labelle	FL
33782	Pinellas-Park	FL
32606	Gainesville	FL
32025	Lake-City	FL
33486	Boca-Raton	FL
32905	Palm-Bay	FL
33950	Punta-Gorda	FL
34476	Ocala	FL
32763	Orange-City	FL
34957	Jensen-Beach	FL
33556	Odessa	FL
33430	Belle-Glade	FL
33573	Sun-City-Center	FL
33772	Seminole	FL
33137	Miami	FL
32701	Altamonte-Springs	FL
34654	New-Port-Richey	FL
33897	Davenport	FL
33634	Tampa	FL
33062	Pompano-Beach	FL
33903	North-Fort-Myers	FL
32504	Pensacola	FL
33496	Boca-Raton	FL
33991	Cape-Coral	FL
34601	Brooksville	FL
32726	Eustis	FL
32751	Maitland	FL
32778	Tavares	FL
32119	Daytona-Beach	FL
32967	Vero-Beach	FL
33811	Lakeland	FL
33870	Sebring	FL
32311	Tallahassee	FL
32080	Saint-Augustine	FL
33455	Hobe-Sound	FL
32129	Port-Orange	FL
34113	Naples	FL
34677	Oldsmar	FL
32444	Lynn-Haven	FL
33034	Homestead	FL
32960	Vero-Beach	FL
32308	Tallahassee	FL
32401	Panama-City	FL
34234	Sarasota	FL
32926	Cocoa	FL
33714	Saint-Petersburg	FL
33184	Miami	FL
32548	Fort-Walton-Beach	FL
33323	Fort-Lauderdale	FL
33541	Zephyrhills	FL
33431	Boca-Raton	FL
33566	Plant-City	FL
33603	Tampa	FL
33901	Fort-Myers	FL
34747	Kissimmee	FL
34212	Bradenton	FL
32128	Daytona-Beach	FL
33852	Lake-Placid	FL
34771	St.-Cloud	FL
32952	Merritt-Island	FL
34481	Ocala	FL
32305	Tallahassee	FL
32713	Debary	FL
34972	Okeechobee	FL
33487	Boca-Raton	FL
33405	West-Palm-Beach	FL
32796	Titusville	FL
33167	Miami	FL
33606	Tampa	FL
33525	Dade-City	FL
33432	Boca-Raton	FL
33434	Boca-Raton	FL
34275	Nokomis	FL
33572	Apollo-Beach	FL
32829	Orlando	FL
34691	Holiday	FL
34286	North-Port	FL
32803	Orlando	FL
33181	Miami	FL
32609	Gainesville	FL
33598	Wimauma	FL
32836	Orlando	FL
34238	Sarasota	FL
34473	Ocala	FL
33140	Miami-Beach	FL
32217	Jacksonville	FL
34470	Ocala	FL
33761	Clearwater	FL
33440	Clewiston	FL
33763	Clearwater	FL
33711	Saint-Petersburg	FL
32024	Lake-City	FL
33187	Miami	FL
32601	Gainesville	FL
34736	Groveland	FL
34480	Ocala	FL
32934	Melbourne	FL
32541	Destin	FL
32141	Edgewater	FL
32097	Yulee	FL
32805	Orlando	FL
32408	Panama-City	FL
33523	Dade-City	FL
32351	Quincy	FL
34285	Venice	FL
33635	Tampa	FL
33912	Fort-Myers	FL
33131	Miami	FL
33559	Lutz	FL
32966	Vero-Beach	FL
34695	Safety-Harbor	FL
33609	Tampa	FL
33304	Fort-Lauderdale	FL
34223	Englewood	FL
33716	Saint-Petersburg	FL
33759	Clearwater	FL
34114	Naples	FL
33408	North-Palm-Beach	FL
34788	Leesburg	FL
33774	Largo	FL
34237	Sarasota	FL
32804	Orlando	FL
34105	Naples	FL
33549	Lutz	FL
34685	Palm-Harbor	FL
34613	Brooksville	FL
32433	Defuniak-Springs	FL
33565	Plant-City	FL
34145	Marco-Island	FL
34994	Stuart	FL
34233	Sarasota	FL
34420	Belleview	FL
32821	Orlando	FL
33605	Tampa	FL
33773	Largo	FL
32428	Chipley	FL
33637	Tampa	FL
32118	Daytona-Beach	FL
33413	West-Palm-Beach	FL
34465	Beverly-Hills	FL
34446	Homosassa	FL
33760	Clearwater	FL
32459	Santa-Rosa-Beach	FL
34474	Ocala	FL
33534	Gibsonton	FL
33948	Port-Charlotte	FL
34951	Fort-Pierce	FL
34117	Naples	FL
33704	Saint-Petersburg	FL
33898	Lake-Wales	FL
32766	Oviedo	FL
33616	Tampa	FL
33066	Pompano-Beach	FL
33777	Seminole	FL
32922	Cocoa	FL
33182	Miami	FL
34950	Fort-Pierce	FL
32055	Lake-City	FL
33146	Miami	FL
34210	Bradenton	FL
34108	Naples	FL
34224	Englewood	FL
33706	Saint-Petersburg	FL
33035	Homestead	FL
33190	Miami	FL
33708	Saint-Petersburg	FL
33004	Dania	FL
34984	Port-St.-Lucie	FL
32206	Jacksonville	FL
33872	Sebring	FL
33136	Miami	FL
33330	Fort-Lauderdale	FL
33701	Saint-Petersburg	FL
34239	Sarasota	FL
32226	Jacksonville	FL
33602	Tampa	FL
34241	Sarasota	FL
32310	Tallahassee	FL
33972	Lehigh-Acres	FL
33412	West-Palm-Beach	FL
34292	Venice	FL
34235	Sarasota	FL
32091	Starke	FL
33498	Boca-Raton	FL
32656	Keystone-Heights	FL
33815	Lakeland	FL
33983	Punta-Gorda	FL
33527	Dover	FL
32963	Vero-Beach	FL
34134	Bonita-Springs	FL
33301	Fort-Lauderdale	FL
32641	Gainesville	FL
33469	Jupiter	FL
32317	Tallahassee	FL
34731	Fruitland-Park	FL
32413	Panama-City-Beach	FL
34442	Hernando	FL
33765	Clearwater	FL
32534	Pensacola	FL
34610	Spring-Hill	FL
33154	Miami	FL
33778	Largo	FL
32903	Indialantic	FL
32011	Callahan	FL
32176	Ormond-Beach	FL
33873	Wauchula	FL
34947	Fort-Pierce	FL
33170	Miami	FL
33478	Jupiter	FL
32669	Newberry	FL
32653	Gainesville	FL
33132	Miami	FL
33315	Fort-Lauderdale	FL
32931	Cocoa-Beach	FL
33129	Miami	FL
33019	Hollywood	FL
32615	Alachua	FL
34479	Ocala	FL
32425	Bonifay	FL
33776	Seminole	FL
32063	Macclenny	FL
32254	Jacksonville	FL
32908	Palm-Bay	FL
33980	Port-Charlotte	FL
34669	Hudson	FL
34236	Sarasota	FL
34475	Ocala	FL
32968	Vero-Beach	FL
34103	Naples	FL
32220	Jacksonville	FL
33149	Key-Biscayne	FL
32348	Perry	FL
33403	West-Palm-Beach	FL
33513	Bushnell	FL
33483	Delray-Beach	FL
32219	Jacksonville	FL
34432	Dunnellon	FL
32569	Mary-Esther	FL
34604	Brooksville	FL
33477	Jupiter	FL
32696	Williston	FL
32784	Umatilla	FL
32344	Monticello	FL
32801	Orlando	FL
33305	Fort-Lauderdale	FL
33567	Plant-City	FL
33868	Polk-City	FL
32776	Sorrento	FL
32951	Melbourne-Beach	FL
34452	Inverness	FL
32693	Trenton	FL
32054	Lake-Butler	FL
32095	Saint-Augustine	FL
32643	High-Springs	FL
34222	Ellenton	FL
33896	Davenport	FL
33853	Lake-Wales	FL
33332	Fort-Lauderdale	FL
34102	Naples	FL
33592	Thonotosassa	FL
33875	Sebring	FL
32222	Jacksonville	FL
34288	North-Port	FL
34240	Sarasota	FL
33955	Punta-Gorda	FL
34690	Holiday	FL
33981	Port-Charlotte	FL
34461	Lecanto	FL
32340	Madison	FL
32333	Havana	FL
32640	Hawthorne	FL
32501	Pensacola	FL
32446	Marianna	FL
33843	Frostproof	FL
33859	Lake-Wales	FL
32754	Mims	FL
32736	Eustis	FL
32407	Panama-City-Beach	FL
33037	Key-Largo	FL
34996	Stuart	FL
32148	Interlachen	FL
34450	Inverness	FL
34453	Inverness	FL
33954	Port-Charlotte	FL
33931	Fort-Myers-Beach	FL
32820	Orlando	FL
34488	Silver-Springs	FL
32439	Freeport	FL
34448	Homosassa	FL
33982	Punta-Gorda	FL
32579	Shalimar	FL
32920	Cape-Canaveral	FL
34956	Indiantown	FL
32169	New-Smyrna-Beach	FL
32038	Fort-White	FL
32409	Panama-City	FL
32680	Old-Town	FL
33480	Palm-Beach	FL
32561	Gulf-Breeze	FL
32833	Orlando	FL
33316	Fort-Lauderdale	FL
34987	Port-St.-Lucie	FL
33050	Marathon	FL
32827	Orlando	FL
32052	Jasper	FL
32046	Hilliard	FL
33947	Rotonda-West	FL
32976	Sebastian	FL
34428	Crystal-River	FL
33841	Fort-Meade	FL
34211	Bradenton	FL
32626	Chiefland	FL
33540	Zephyrhills	FL
33476	Pahokee	FL
32448	Marianna	FL
34607	Spring-Hill	FL
33762	Clearwater	FL
34429	Crystal-River	FL
33850	Lake-Alfred	FL
32136	Flagler-Beach	FL
32110	Bunnell	FL
32618	Archer	FL
34436	Floral-City	FL
33194	Miami	FL
32456	Port-Saint-Joe	FL
32814	Orlando	FL
34434	Dunnellon	FL
34431	Dunnellon	FL
33128	Miami	FL
32550	Destin	FL
32465	Wewahitchka	FL
32179	Ocklawaha	FL
32440	Graceville	FL
32134	Fort-Mc-Coy	FL
33597	Webster	FL
34602	Brooksville	FL
34229	Osprey	FL
34949	Fort-Pierce	FL
32112	Crescent-City	FL
32347	Perry	FL
32132	Edgewater	FL
32948	Fellsmere	FL
32204	Jacksonville	FL
33834	Bowling-Green	FL
32424	Blountstown	FL
32435	Defuniak-Springs	FL
34242	Sarasota	FL
33767	Clearwater-Beach	FL
34688	Tarpon-Springs	FL
32066	Mayo	FL
32040	Glen-Saint-Mary	FL
33957	Sanibel	FL
33715	Saint-Petersburg	FL
34228	Longboat-Key	FL
33548	Lutz	FL
34614	Brooksville	FL
32612	Gainesville	FL
33031	Homestead	FL
34251	Myakka-City	FL
32266	Neptune-Beach	FL
32087	Sanderson	FL
32603	Gainesville	FL
32064	Live-Oak	FL
33471	Moore-Haven	FL
33953	Port-Charlotte	FL
32666	Melrose	FL
33042	Summerland-Key	FL
34433	Dunnellon	FL
32202	Jacksonville	FL
33158	Miami	FL
32321	Bristol	FL
32352	Quincy	FL
33920	Alva	FL
32124	Daytona-Beach	FL
32535	Century	FL
34946	Fort-Pierce	FL
32730	Casselberry	FL
34753	Mascotte	FL
32189	Satsuma	FL
32234	Jacksonville	FL
32466	Youngstown	FL
32145	Hastings	FL
32130	De-Leon-Springs	FL
32460	Sneads	FL
32619	Bell	FL
33493	South-Bay	FL
32531	Baker	FL
33785	Indian-Rocks-Beach	FL
34981	Fort-Pierce	FL
32508	Pensacola	FL
32628	Cross-City	FL
33620	Tampa	FL
32113	Citra	FL
34945	Fort-Pierce	FL
33070	Tavernier	FL
34217	Bradenton-Beach	FL
32565	Jay	FL
32621	Bronson	FL
33043	Big-Pine-Key	FL
33876	Sebring	FL
32421	Altha	FL
33890	Zolfo-Springs	FL
32686	Reddick	FL
33538	Lake-Panasoffkee	FL
32735	Grand-Island	FL
32324	Chattahoochee	FL
32668	Morriston	FL
32033	Elkton	FL
34734	Gotha	FL
32732	Geneva	FL
33576	San-Antonio	FL
32617	Anthony	FL
32180	Pierson	FL
32950	Malabar	FL
34269	Arcadia	FL
32580	Valparaiso	FL
32008	Branford	FL
32577	Molino	FL
32058	Lawtey	FL
32464	Westville	FL
32131	East-Palatka	FL
33838	Dundee	FL
32667	Micanopy	FL
32331	Greenville	FL
32431	Cottondale	FL
32083	Raiford	FL
33922	Bokeelia	FL
32455	Ponce-De-Leon	FL
34201	Bradenton	FL
32322	Carrabelle	FL
32071	O-Brien	FL
32320	Apalachicola	FL
32438	Fountain	FL
32744	Lake-Helen	FL
34773	St.-Cloud	FL
32009	Bryceville	FL
34484	Oxford	FL
32053	Jennings	FL
34756	Montverde	FL
33036	Islamorada	FL
33956	Saint-James-City	FL
32462	Vernon	FL
34289	North-Port	FL
32328	Eastpoint	FL
33839	Eagle-Lake	FL
32227	Jacksonville	FL
32767	Paisley	FL
32502	Pensacola	FL
32442	Grand-Ridge	FL
32831	Orlando	FL
32343	Midway	FL
34449	Inglis	FL
32443	Greenwood	FL
32764	Osteen	FL
32542	Eglin-Afb	FL
33306	Fort-Lauderdale	FL
32567	Laurel-Hill	FL
33827	Babson-Park	FL
32759	Oak-Hill	FL
32564	Holt	FL
34737	Howey-In-The-Hills	FL
32195	Weirsdale	FL
32798	Zellwood	FL
34705	Astatula	FL
32568	Mc-David	FL
32702	Altoona	FL
32403	Panama-City	FL
33621	Tampa	FL
33514	Center-Hill	FL
32094	Wellborn	FL
32181	Pomona-Park	FL
32445	Malone	FL
32949	Grant	FL
32212	Jacksonville	FL
32059	Lee	FL
33857	Lorida	FL
32102	Astor	FL
32096	White-Springs	FL
33946	Placida	FL
32334	Hosford	FL
32694	Waldo	FL
32358	Sopchoppy	FL
32544	Hurlburt-Field	FL
32420	Alford	FL
32346	Panacea	FL
32187	San-Mateo	FL
32709	Christmas	FL
32062	Mc-Alpin	FL
33965	Fort-Myers	FL
32044	Hampton	FL
32625	Cedar-Key	FL
33786	Belleair-Beach	FL
32925	Patrick-Afb	FL
32140	Florahome	FL
32190	Seville	FL
32350	Pinetta	FL
32359	Steinhatchee	FL
32616	Alachua	FL
32430	Clarksville	FL
33849	Kathleen	FL
33851	Lake-Hamilton	FL
33585	Sumterville	FL
32336	Lamont	FL
32332	Gretna	FL
34797	Yalaha	FL
32427	Caryville	FL
32511	Pensacola	FL
32622	Brooker	FL
33848	Intercession-City	FL
32139	Georgetown	FL
32423	Bascom	FL
32410	Mexico-Beach	FL
33865	Ona	FL
33930	Felda	FL
34760	Oakland	FL
32437	Ebro	FL
32426	Campbellton	FL
33921	Boca-Grande	FL
32147	Hollister	FL
34681	Crystal-Beach	FL
34216	Anna-Maria	FL
32193	Welaka	FL
32509	Pensacola	FL
33960	Venus	FL
32330	Greensboro	FL
34137	Copeland	FL
33877	Waverly	FL
34215	Cortez	FL
34498	Yankeetown	FL
33521	Coleman	FL
32449	Kinard	FL
34762	Okahumpka	FL
33051	Key-Colony-Beach	FL
32061	Lulu	FL
32228	Jacksonville	FL
32079	Penney-Farms	FL
33109	Miami-Beach	FL
32648	Horseshoe-Beach	FL
32664	Mc-Intosh	FL
32361	Wacissa	FL
32658	La-Crosse	FL
32970	Wabasso	FL
33438	Canal-Point	FL
32157	Lake-Como	FL
34138	Chokoloskee	FL
34140	Goodland	FL
33001	Long-Key	FL
33867	River-Ranch	FL
33854	Fedhaven	FL
33039	Homestead	FL
33856	Nalcrest	FL
32683	Otter-Creek	FL
32697	Worthington-Springs	FL
32355	Saint-Marks	FL
34739	Kenansville	FL
33944	Palmdale	FL
32463	Wausau	FL
32072	Olustee	FL
33122	Miami	FL
34139	Everglades-City	FL
33924	Captiva	FL
32639	Gulf-Hammock	FL
33847	Homeland	FL
33503	Balm	FL
32692	Suwannee	FL
32447	Marianna	FL
34268	Nocatee	FL
32631	Earleton	FL
32323	Lanark-Village	FL
33744	Bay-Pines	FL
34661	Nobleton	FL
34141	Ochopee	FL
34679	Aripeka	FL
32530	Bagdad	FL
32461	Rosemary-Bch	FL
32681	Orange-Lake	FL
32133	Eastlake-Weir	FL
32830	Orlando	FL
34101	Naples	FL
32432	Cypress	FL
32356	Salem	FL
34445	Holder	FL
33855	Indian-Lake-Estates	FL
33101	Miami	FL
32399	Tallahassee	FL
33945	Pineland	FL
